clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,alternative_matches
to rule out cancer or other disorders,[Event: to rule out cancer or other disorders],UNKNOWN:TO RULE ,UNKNOWN,,to rule out cancer or other disorders,0.0,Medical Concept,fallback,[]
to the lungs for a fresh supply of oxygen,[Event: to the lungs for a fresh supply of oxygen],UNKNOWN:TO THE L,UNKNOWN,,to the lungs for a fresh supply of oxygen,0.0,Medical Concept,fallback,[]
too much hormones produced for too long,[Event: too much hormones produced for too long],UNKNOWN:TOO MUCH,UNKNOWN,,too much hormones produced for too long,0.0,Medical Concept,fallback,[]
tooth falls out,[Event: tooth falls out],UNKNOWN:TOOTH FA,UNKNOWN,,tooth falls out,0.0,Medical Concept,fallback,[]
tooth in place,[Event: tooth in place],C0399009,SNOMEDCT_US,C0399009,Open drainage of alveolar abscess via tooth,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3275751"", ""name"": ""Irregularly placed teeth"", ""source"": ""OMIM"", ""score"": 0.5}, {""umls_id"": ""C1851836"", ""name"": ""Small, irregularly placed teeth"", ""source"": ""OMIM"", ""score"": 0.5}, {""umls_id"": ""C5830397"", ""name"": ""Small abnormally placed teeth"", ""source"": ""OMIM"", ""score"": 0.5}]"
tooth is dirty,[Event: tooth is dirty],UNKNOWN:TOOTH IS,UNKNOWN,,tooth is dirty,0.0,Medical Concept,fallback,[]
topical antibiotic ointment or oral antibiotic,[Event: topical antibiotic ointment or oral antibiotic],UNKNOWN:TOPICAL ,UNKNOWN,,topical antibiotic ointment or oral antibiotic,0.0,Medical Concept,fallback,[]
torn cartilage,[Event: torn cartilage],C0186417,SNOMEDCT_US,C0186417,Arthrotomy for excision of torn cartilage of acromioclavicular joint,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0186416"", ""name"": ""Arthrotomy for excision of torn cartilage of sternoclavicular joint"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0238218"", ""name"": ""Tear of meniscus of knee"", ""source"": ""MTH"", ""score"": 0.5}]"
torn ligament,[Event: torn ligament],C0435135,SNOMEDCT_US,C0435135,Rupture of ankle ligament,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C5879418"", ""name"": ""Repair of torn collateral ligament and capsule of knee joint"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
torsion of the testicle,[Event: torsion of the testicle],C0037856,MSH,C0037856,Spermatic Cord Torsion,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C4265855"", ""name"": ""Multisection for torsion:Find:Pt:Pelvis>Scrotum+Testicle:Doc:US"", ""source"": ""LNC"", ""score"": 0.5}]"
toxoplasmosis during pregnancy,[Event: toxoplasmosis during pregnancy],C2585378,SNOMEDCT_US,C2585378,Education about toxoplasmosis precautions during pregnancy,0.5,Medical Concept,umls_api,[]
transplant insulin-secreting cells,[Event: transplant insulin-secreting cells],UNKNOWN:TRANSPLA,UNKNOWN,,transplant insulin-secreting cells,0.0,Medical Concept,fallback,[]
trauma,[Event: trauma],C3714660,MTH,C3714660,Trauma,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C1368081"", ""name"": ""Physical trauma"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1510467"", ""name"": ""trauma qualifier"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C4049136"", ""name"": ""Trauma, nursing specialty"", ""source"": ""MTH"", ""score"": 0.8}]"
treatment before it has spread,[Event: treatment before it has spread],UNKNOWN:TREATMEN,UNKNOWN,,treatment before it has spread,0.0,Medical Concept,fallback,[]
treatment for bipolar disorder,[Event: treatment for bipolar disorder],UNKNOWN:TREATMEN,UNKNOWN,,treatment for bipolar disorder,0.0,Medical Concept,fallback,[]
treatment needed,[Event: treatment needed],C5443905,MTH,C5443905,Postoperative complication treatment needed,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C4534366"", ""name"": ""Asymptomatic, no treatment needed at this time"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C5445042"", ""name"": ""Postoperative complication treatment needed:Find:Pt:^Patient:Nom"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1319487"", ""name"": ""Drug treatment still needed"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
treatment of sex partner,[Event: treatment of sex partner],UNKNOWN:TREATMEN,UNKNOWN,,treatment of sex partner,0.0,Medical Concept,fallback,[]
treatment with antibiotics and surgery,[Event: treatment with antibiotics and surgery],UNKNOWN:TREATMEN,UNKNOWN,,treatment with antibiotics and surgery,0.0,Medical Concept,fallback,[]
treatment with antibiotics,[Event: treatment with antibiotics],C4688264,NCI,C4688264,ATLAS - Treatment With Antibiotics,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C3540707"", ""name"": ""Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE"", ""source"": ""MTH"", ""score"": 0.5}]"
treatment with antiviral drug,[Event: treatment with antiviral drug],UNKNOWN:TREATMEN,UNKNOWN,,treatment with antiviral drug,0.0,Medical Concept,fallback,[]
treatment with beta blockers or other medications,[Event: treatment with beta blockers or other medications],UNKNOWN:TREATMEN,UNKNOWN,,treatment with beta blockers or other medications,0.0,Medical Concept,fallback,[]
treatment,treatment,C1705169,MTH,C1705169,Biomaterial Treatment,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C3887704"", ""name"": ""treatment - ActInformationManagementReason"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0199176"", ""name"": ""Prophylactic treatment"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0087111"", ""name"": ""Therapeutic procedure"", ""source"": ""MTH"", ""score"": 0.5}]"
triangular-shaped head,[Event: triangular-shaped head],C4280666,HPO,C4280666,Triangular head shape,0.5,Medical Concept,umls_api,[]
trying to stand up,[Event: trying to stand up],UNKNOWN:TRYING T,UNKNOWN,,trying to stand up,0.0,Medical Concept,fallback,[]
tube burst,[Event: tube burst],UNKNOWN:TUBE BUR,UNKNOWN,,tube burst,0.0,Medical Concept,fallback,[]
tumor detected at an early stage,[Event: tumor detected at an early stage],UNKNOWN:TUMOR DE,UNKNOWN,,tumor detected at an early stage,0.0,Medical Concept,fallback,[]
tumor is destroyed,[Event: tumor is destroyed],UNKNOWN:TUMOR IS,UNKNOWN,,tumor is destroyed,0.0,Medical Concept,fallback,[]
tumors begin to grow,[Event: tumors begin to grow],UNKNOWN:TUMORS B,UNKNOWN,,tumors begin to grow,0.0,Medical Concept,fallback,[]
tumors result from cells that have spread from other parts of the body,[Event: tumors result from cells that have spread from other parts of the body],UNKNOWN:TUMORS R,UNKNOWN,,tumors result from cells that have spread from other parts of the body,0.0,Medical Concept,fallback,[]
ulcer develops,[Event: ulcer develops],C2598226,LNC,C2598226,Risk of developing pressure ulcers,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C2598225"", ""name"": ""Risk of developing pressure ulcers:Find:Pt:^Patient:Ord:CARE"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C4698268"", ""name"": ""NA-Pressure ulcer risk assessment (clinical or formal) indicates patient is not at risk of developing pressure ulcers."", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C3844515"", ""name"": ""Developed since the most recent SOC/ROC assessment: record date pressure ulcer first identified: __ __ /__ __ /____ __ __"", ""source"": ""LNC"", ""score"": 0.5}]"
ulcers or sores that don't heal,[Event: ulcers or sores that don't heal],UNKNOWN:ULCERS O,UNKNOWN,,ulcers or sores that don't heal,0.0,Medical Concept,fallback,[]
ultrasonic scaling,[Event: ultrasonic scaling],C3878601,SNOMEDCT_US,C3878601,Ultrasonic dental scaling system,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3879747"", ""name"": ""Ultrasonic dental scaling system generator"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C3877577"", ""name"": ""Ultrasonic dental scaling system handpiece"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C3877154"", ""name"": ""Ultrasonic dental scaling system handpiece tip"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
ultrasound of pelvis,[Event: ultrasound of pelvis],C0948766,MDR,C0948766,Ultrasound pelvis,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C5176538"", ""name"": ""Pelvis | Ultrasound | Radiology"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C0582322"", ""name"": ""Ultrasound treatment to pelvis"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C5886604"", ""name"": ""Abdomen and Pelvis | Ultrasound | Radiology"", ""source"": ""LNC"", ""score"": 0.5}]"
ultrasound of the kidneys,[Event: ultrasound of the kidneys],C0203408,MTH,C0203408,Echography of kidney,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3278036"", ""name"": ""Echodense kidneys on ultrasound"", ""source"": ""OMIM"", ""score"": 0.5}, {""umls_id"": ""C1865874"", ""name"": ""Enlarged, hyperechogenic kidneys (ultrasound)"", ""source"": ""OMIM"", ""score"": 0.5}, {""umls_id"": ""C1865274"", ""name"": ""Ultrasound shows hyperechoic kidneys"", ""source"": ""OMIM"", ""score"": 0.5}]"
ultrasound scan,[Event: ultrasound scan],C0412555,MTH,C0412555,Ultrasound scan - obstetric,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0581118"", ""name"": ""Ultrasound scan abnormal"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0581117"", ""name"": ""Ultrasound scan normal"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0552642"", ""name"": ""Ultrasound scan quality"", ""source"": ""MTH"", ""score"": 0.8}]"
undergoing stripping or sclerotherapy,[Event: undergoing stripping or sclerotherapy],UNKNOWN:UNDERGOI,UNKNOWN,,undergoing stripping or sclerotherapy,0.0,Medical Concept,fallback,[]
underlying heart defect,[Event: underlying heart defect],UNKNOWN:UNDERLYI,UNKNOWN,,underlying heart defect,0.0,Medical Concept,fallback,[]
underlying medical conditions,underlying medical conditions,UNKNOWN:UNDERLYI,UNKNOWN,,underlying medical conditions,0.0,Medical Concept,fallback,[]
unfavorable events beyond control,[Event: unfavorable events beyond control],UNKNOWN:UNFAVORA,UNKNOWN,,unfavorable events beyond control,0.0,Medical Concept,fallback,[]
uninterrupted bleeding,uninterrupted bleeding,UNKNOWN:UNINTERR,UNKNOWN,,uninterrupted bleeding,0.0,Medical Concept,fallback,[]
unprotected sex,[Event: unprotected sex],C0556482,MSH,C0556482,Unsafe Sex,0.5,Medical Concept,umls_api,[]
urethral inflammation,[Event: urethral inflammation],UNKNOWN:URETHRAL,UNKNOWN,,urethral inflammation,0.0,Medical Concept,fallback,[]
urinating more than usual,[Event: urinating more than usual],C3830203,NCI,C3830203,FAMS - Urinate More Frequently Than Usual,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3476008"", ""name"": ""I urinate more frequently than usual in the past 7D"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C3482407"", ""name"": ""I urinate more frequently than usual in the past 7D:Find:7D:^Patient:Ord:FACIT"", ""source"": ""LNC"", ""score"": 0.5}]"
urination and sexual activity,urination and sexual activity,UNKNOWN:URINATIO,UNKNOWN,,urination and sexual activity,0.0,Medical Concept,fallback,[]
urine from the kidneys to the bladder,[Event: urine from the kidneys to the bladder],UNKNOWN:URINE FR,UNKNOWN,,urine from the kidneys to the bladder,0.0,Medical Concept,fallback,[]
urine past the blockage,[Event: urine past the blockage],UNKNOWN:URINE PA,UNKNOWN,,urine past the blockage,0.0,Medical Concept,fallback,[]
urine until you release it from your body during urination,[Event: urine until you release it from your body during urination],UNKNOWN:URINE UN,UNKNOWN,,urine until you release it from your body during urination,0.0,Medical Concept,fallback,[]
urine,[Event: urine],C0042036,MTH,C0042036,Urine,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C1610733"", ""name"": ""Urine specimen"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0042037"", ""name"": ""In Urine"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C2963137"", ""name"": ""Portion of urine"", ""source"": ""MTH"", ""score"": 0.8}]"
use and p,[Event: use and p],C4274804,SNOMEDCT_US,C4274804,Assessment using Merrill-Palmer-Revised Scales of Development,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C4305285"", ""name"": ""Assessment using RCADS-P (Revised Children's Anxiety and Depression Scale Parent Version)"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C5438525"", ""name"": ""Assessment using Spence Children's Anxiety Scale - Parent Version"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C1156624"", ""name"": ""glutamate biosynthesis, using glutamate dehydrogenase (NAD(P)+)"", ""source"": ""GO"", ""score"": 0.5}]"
"used, oxygen-depleted blood to the right side of your heart","[Event: used, oxygen-depleted blood to the right side of your heart]","UNKNOWN:USED, OX",UNKNOWN,,"used, oxygen-depleted blood to the right side of your heart",0.0,Medical Concept,fallback,[]
using an alternative therapy as a substitute for conventional therapy without receiving an accurate diagnosis from a doctor,[Event: using an alternative therapy as a substitute for conventional therapy without receiving an accurate diagnosis from a doctor],UNKNOWN:USING AN,UNKNOWN,,using an alternative therapy as a substitute for conventional therapy without receiving an accurate diagnosis from a doctor,0.0,Medical Concept,fallback,[]
vacation every year,[Event: vacation every year],UNKNOWN:VACATION,UNKNOWN,,vacation every year,0.0,Medical Concept,fallback,[]
vaccination,[Event: vaccination],C0042196,MTH,C0042196,Vaccination,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0042206"", ""name"": ""Rubella vaccination"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0042200"", ""name"": ""Influenza vaccination"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0042201"", ""name"": ""Measles vaccination"", ""source"": ""MTH"", ""score"": 0.8}]"
vaginal bleeding,[Event: vaginal bleeding],C0578503,MTH,C0578503,Abnormal vaginal bleeding,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0566965"", ""name"": ""Profuse vaginal bleeding"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C2979982"", ""name"": ""Vaginal Hemorrhage"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0460103"", ""name"": ""Vaginal vault bleeding"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
vaginal opening,[Event: vaginal opening],C5787064,NCI,C5787064,Vaginal Opening Indicator,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0425859"", ""name"": ""Number of openings of vaginal fistula"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
various disorders,[Event: various disorders],C0432469,SNOMEDCT_US,C0432469,Mosaicism - lines with various numbers of X chromosomes,0.5,Medical Concept,umls_api,[]
vary in how they improve,[Event: vary in how they improve],UNKNOWN:VARY IN ,UNKNOWN,,vary in how they improve,0.0,Medical Concept,fallback,[]
vertigo,[Event: vertigo],C0042571,MTH,C0042571,Vertigo,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C5979911"", ""name"": ""Epidemic vertigo"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1527320"", ""name"": ""Vertigo, Aural"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0155501"", ""name"": ""Vertigo, Peripheral"", ""source"": ""MSH"", ""score"": 0.8}]"
vesicoureteral reflux,[Event: vesicoureteral reflux],C5232302,MSH,C5232302,Secondary Vesicoureteral Reflux,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C4551858"", ""name"": ""Vesicoureteral Reflux 1"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C4706552"", ""name"": ""Familial vesicoureteral reflux"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C5539786"", ""name"": ""Primary Vesicoureteral Reflux"", ""source"": ""MSH"", ""score"": 0.8}]"
violence,[Event: violence],C0042693,MTH,C0042693,Violence,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0206073"", ""name"": ""Domestic Violence"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0476480"", ""name"": ""Physical violence"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0150215"", ""name"": ""Violence prevention"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
violent behavior peaks by age 16 or 17,[Event: violent behavior peaks by age 16 or 17],UNKNOWN:VIOLENT ,UNKNOWN,,violent behavior peaks by age 16 or 17,0.0,Medical Concept,fallback,[]
viral or bacterial infection,[Event: viral or bacterial infection],C5776625,LNC,C5776625,Bacterial versus viral infection likelihood,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C0456105"", ""name"": ""Congenital non-bacterial non-viral infection"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C5776624"", ""name"": ""Bacterial versus viral infection likelihood:Score:Pt:^Patient:Qn:Calculated"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C5436301"", ""name"": ""Bacterial and viral infections"", ""source"": ""OMIM"", ""score"": 0.5}]"
vitamin B12 deficiency anemia,[Event: vitamin B12 deficiency anemia],C2004521,MTH,C2004521,Vitamin B12 deficiency anemia,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C4543748"", ""name"": ""Hereditary vitamin B12 deficiency anemia"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0477301"", ""name"": ""Other dietary vitamin B12 deficiency anemia"", ""source"": ""ICD10AE"", ""score"": 0.8}, {""umls_id"": ""C5567277"", ""name"": ""Vitamin B12 deficiency anemia following gastrectomy"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
vitamin deficiency,[Event: vitamin deficiency],C1510471,MTH,C1510471,Vitamin Deficiency,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0042870"", ""name"": ""Vitamin D Deficiency"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0042842"", ""name"": ""Vitamin A Deficiency"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0042880"", ""name"": ""Vitamin K Deficiency"", ""source"": ""MTH"", ""score"": 0.5}]"
"vomiting blood, or black or dark brown matter that looks like coffee grounds (partially digested blood)","[Event: vomiting blood, or black or dark brown matter that looks like coffee grounds (partially digested blood)]",UNKNOWN:VOMITING,UNKNOWN,,"vomiting blood, or black or dark brown matter that looks like coffee grounds (partially digested blood)",0.0,Medical Concept,fallback,[]
waiting until you have had one or two periods,[Event: waiting until you have had one or two periods],UNKNOWN:WAITING ,UNKNOWN,,waiting until you have had one or two periods,0.0,Medical Concept,fallback,[]
wake up during the night,[Event: wake up during the night],C4075722,SNOMEDCT_US,C4075722,Wakes up during night,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C4296650"", ""name"": ""How often did your asthma symptoms (wheezing, coughing, shortness of breath, chest tightness or pain) wake you up at night or earlier than usual in the morning during the past 4W"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C4298501"", ""name"": ""How often did your asthma symptoms (wheezing, coughing, shortness of breath, chest tightness or pain) wake you up at night or earlier than usual in the morning during the past 4W:Find:4W:^Patient:Ord:ACT"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C0393761"", ""name"": ""Middle insomnia"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
waking at night,[Event: waking at night],C3641464,NCI,C3641464,OAB-q - Waking Up at Night Because You had to Urinate,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3641496"", ""name"": ""OAB-q Short Form - Waking Up at Night Because You had to Urinate"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C3175404"", ""name"": ""How many separate times in your life have you had difficulty getting to sleep, staying asleep or falling back to sleep after waking up during the night, for at least 1Mo"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C3175403"", ""name"": ""How many separate times in your life have you had difficulty getting to sleep, staying asleep or falling back to sleep after waking up during the night, for at least 1Mo:Num:Pt:^Patient:Qn:PhenX"", ""source"": ""LNC"", ""score"": 0.5}]"
waking from a deep sleep,[Event: waking from a deep sleep],UNKNOWN:WAKING F,UNKNOWN,,waking from a deep sleep,0.0,Medical Concept,fallback,[]
warming up,[Event: warming up],C2350169,MSH,C2350169,Warm-Up Exercise,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C1827111"", ""name"": ""Myotonic warm-up phenomenon"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C1827033"", ""name"": ""Myotonic warm-up phenomenon - lid lag"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C0454428"", ""name"": ""Informal warm-up for therapy"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
warnings about health effects,[Event: warnings about health effects],UNKNOWN:WARNINGS,UNKNOWN,,warnings about health effects,0.0,Medical Concept,fallback,[]
"wartlike growths, benign tumors, or ulcers or sores that don't heal","[Event: wartlike growths, benign tumors, or ulcers or sores that don't heal]",UNKNOWN:WARTLIKE,UNKNOWN,,"wartlike growths, benign tumors, or ulcers or sores that don't heal",0.0,Medical Concept,fallback,[]
weakness in face improves,[Event: weakness in face improves],UNKNOWN:WEAKNESS,UNKNOWN,,weakness in face improves,0.0,Medical Concept,fallback,[]
weakness,weakness,C3714552,MTH,C3714552,Weakness,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0151786"", ""name"": ""Muscle Weakness"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0746674"", ""name"": ""Generalized muscle weakness"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0577655"", ""name"": ""Quadriceps weakness"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
weeks or months without stopping,[Event: weeks or months without stopping],UNKNOWN:WEEKS OR,UNKNOWN,,weeks or months without stopping,0.0,Medical Concept,fallback,[]
weight down near the lower end of inherited weight range,[Event: weight down near the lower end of inherited weight range],UNKNOWN:WEIGHT D,UNKNOWN,,weight down near the lower end of inherited weight range,0.0,Medical Concept,fallback,[]
when the person needs it,[Event: when the person needs it],UNKNOWN:WHEN THE,UNKNOWN,,when the person needs it,0.0,Medical Concept,fallback,[]
while active,[Event: while active],C2708136,LNC,C2708136,Isolation or quarantine for active infectious disease in last 14D - while a resident,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C2708134"", ""name"": ""Isolation or quarantine for active infectious disease in last 14D - while not a resident"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C2708135"", ""name"": ""Isolation or quarantine for active infectious disease in last 14D - while a resident:Find:14D:^Patient:Ord:MDSv3"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C2708133"", ""name"": ""Isolation or quarantine for active infectious disease in last 14D - while not a resident:Find:14D:^Patient:Ord:MDSv3"", ""source"": ""LNC"", ""score"": 0.5}]"
widespread obstruction of the tiny blood vessels,[Event: widespread obstruction of the tiny blood vessels],UNKNOWN:WIDESPRE,UNKNOWN,,widespread obstruction of the tiny blood vessels,0.0,Medical Concept,fallback,[]
with a clean blanket,[Event: with a clean blanket],UNKNOWN:WITH A C,UNKNOWN,,with a clean blanket,0.0,Medical Concept,fallback,[]
with a sore neck,[Event: with a sore neck],UNKNOWN:WITH A S,UNKNOWN,,with a sore neck,0.0,Medical Concept,fallback,[]
with diagnostic tests,[Event: with diagnostic tests],C0086143,MTH,C0086143,Diagnostic tests,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5690722"", ""name"": ""Rapid Diagnostic Tests"", ""source"": ""MSH"", ""score"": 0.5}, {""umls_id"": ""C0011930"", ""name"": ""Diagnostic Tests, Routine"", ""source"": ""MSH"", ""score"": 0.5}, {""umls_id"": ""C1115972"", ""name"": ""Relevant diagnostic tests/laboratory data"", ""source"": ""LNC"", ""score"": 0.5}]"
withdrawal,[Event: withdrawal],C2825032,MTH,C2825032,Withdrawal (dysfunction),0.8,Medical Concept,umls_api,"[{""umls_id"": ""C3812880"", ""name"": ""Withdrawal - birth control"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0152128"", ""name"": ""Drug withdrawal syndrome"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0236663"", ""name"": ""Alcohol withdrawal syndrome"", ""source"": ""MTH"", ""score"": 0.8}]"
withdrawing sample of tissue,[Event: withdrawing sample of tissue],UNKNOWN:WITHDRAW,UNKNOWN,,withdrawing sample of tissue,0.0,Medical Concept,fallback,[]
women are at greater risk than men,[Event: women are at greater risk than men],UNKNOWN:WOMEN AR,UNKNOWN,,women are at greater risk than men,0.0,Medical Concept,fallback,[]
worrying about the future,[Event: worrying about the future],C3639687,NCI,C3639687,PDQUALIF - Worry about Future,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3641782"", ""name"": ""Worry About Future Health Question"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C4331770"", ""name"": ""Worry About Possible Future Treatments Question"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C3830030"", ""name"": ""GDS - Frequently Worry About Future"", ""source"": ""NCI"", ""score"": 0.5}]"
wounded by gun,[Event: wounded by gun],UNKNOWN:WOUNDED ,UNKNOWN,,wounded by gun,0.0,Medical Concept,fallback,[]
wrapping a rubber band around its base,[Event: wrapping a rubber band around its base],UNKNOWN:WRAPPING,UNKNOWN,,wrapping a rubber band around its base,0.0,Medical Concept,fallback,[]
you bend over,[Event: you bend over],C3869590,LNC,C3869590,"Over the past W, are you able to bend down and pick up clothing from the floor",0.5,Medical Concept,umls_api,"[{""umls_id"": ""C3870075"", ""name"": ""Over the past W, are you able to bend down and pick up clothing from the floor:Find:1W:^Patient:Ord:HAQ"", ""source"": ""LNC"", ""score"": 0.5}]"
you lift something,[Event: you lift something],C3177072,LNC,C3177072,"How much difficulty do you have lifting or carrying something as heavy as 10 pounds, like a sack of potatoes or rice",0.5,Medical Concept,umls_api,"[{""umls_id"": ""C5142271"", ""name"": ""How short of breath did you get lifting something weighing less than 5 lbs (about 2 kg, like a houseplant) over past 7D"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C3259184"", ""name"": ""How much difficulty do you have lifting or carrying something as heavy as 10 pounds, like a sack of potatoes or rice:Find:Pt:^Patient:Ord:PhenX"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C3475507"", ""name"": ""How short of breath did you get lifting something weighing less than 5 lbs, about 2 kg, like a houseplant, in the past 7D"", ""source"": ""LNC"", ""score"": 0.5}]"
you may have RHEUMATOID ARTHRITIS but you could also have a joint infection,[Event: you may have RHEUMATOID ARTHRITIS but you could also have a joint infection],UNKNOWN:YOU MAY ,UNKNOWN,,you may have RHEUMATOID ARTHRITIS but you could also have a joint infection,0.0,Medical Concept,fallback,[]
young children,[Event: young children],C3242656,HL7V3.0,C3242656,dependent young children,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0557118"", ""name"": ""Family with young children"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0451526"", ""name"": ""Systematic fluency training for young children"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C4274260"", ""name"": ""Stuttering Prediction Instrument for Young Children"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
your body to retain water,[Event: your body to retain water],UNKNOWN:YOUR BOD,UNKNOWN,,your body to retain water,0.0,Medical Concept,fallback,[]
